0: (-0.957292, -0.801852) 0000000000000000
1: (-0.402083, 0.074074) 0000000002D6E0D0
2: (0.967708, 0.118518) 0000000002D6E8E0
3: (0.95625, -0.633333) 0000000002D6E4E0
4: (-0.914583, 0.303704) 0000000002D6E560
5: (0.942708, -0.87963) 0000000002D6E5E0
6: (-0.748958, 0.161111) 0000000002D6E660
7: (-0.623958, -0.0907407) 0000000002D6FEF0
8: (0.119792, -0.885185) 0000000002D6FF70
9: (0.028125, -0.933333) 0000000002D6FFF0
10: (0.740625, 0.0444444) 0000000002D70070
11: (-0.935417, -0.716667) 0000000002D700F0
12: (-0.695833, -0.0703704) 0000000002D70170
13: (-0.853125, -0.340741) 0000000002D701F0
14: (-0.460417, -0.157407) 0000000002D70270
15: (0.673958, -0.766667) 0000000002D702F0
16: (0.386458, 0.366667) 0000000002D70370
17: (0.946875, -0.125926) 0000000002D703F0
18: (-0.263542, -0.298148) 0000000002D70470
19: (0.744792, -0.677778) 0000000002D704F0
20: (0.898958, -0.905556) 0000000002D70570
21: (-0.372917, -0.827778) 0000000002D705F0
22: (-0.590625, -0.362963) 0000000002D70670
23: (0.771875, -0.72037) 0000000002D706F0
24: (0.430208, -0.281482) 0000000002D70770
25: (-0.388542, 0.192593) 0000000002D707F0
26: (-0.977083, -0.338889) 0000000002D70870
27: (-0.128125, 0.812963) 0000000002D708F0
28: (0.0864583, -0.961111) 0000000002D70970
29: (-0.323958, 0.440741) 0000000002D709F0
30: (-0.170833, 0.62037) 0000000002D70A70
31: (0.114583, 0.411111) 0000000002D70AF0
32: (-0.7, 0.751852) 0000000002D70B70
33: (0.416667, -0.440741) 0000000002D70BF0
34: (-0.933333, 0.940741) 0000000002D70C70
35: (-0.410417, -0.916667) 0000000002D70CF0
36: (-0.447917, -0.538889) 0000000002D70D70
37: (0.385417, -0.574074) 0000000002D70DF0
38: (0.63125, 0.594444) 0000000002D70E70
39: (0.409375, -0.42963) 0000000002D70EF0
40: (-0.553125, 0.375926) 0000000002D70F70
41: (0.0875, -0.0481482) 0000000002D70FF0
42: (0.5375, 0.925926) 0000000002D71070
43: (0.172917, 0.659259) 0000000002D710F0
44: (-0.488542, -0.281482) 0000000002D71170
45: (0.65, -0.927778) 0000000002D711F0
46: (0.652083, -0.0314815) 0000000002D71270
47: (0.767708, 0.885185) 0000000002D712F0
48: (-0.210417, 0.855556) 0000000002D71370
49: (0.884375, -0.368519) 0000000002D713F0
50: (0.034375, 0.62037) 0000000002D71470
51: (-0.167708, -0.0777778) 0000000002D714F0
52: (0.65, -0.611111) 0000000002D71570
53: (-0.440625, -0.72963) 0000000002D715F0
54: (-0.00729167, 0.455556) 0000000002D71670
55: (0.230208, 0.231481) 0000000002D716F0
56: (-0.954167, 0.318519) 0000000002D71770
57: (-0.46875, -0.205556) 0000000002D717F0
58: (0.892708, -0.161111) 0000000002D71870
59: (0.309375, -0.422222) 0000000002D718F0
60: (-0.0145833, -0.388889) 0000000002D71970
61: (0.542708, -0.488889) 0000000002D719F0
62: (0.286458, 0.864815) 0000000002D71A70
63: (-0.359375, -0.159259) 0000000002D71AF0
64: (-0.801042, -0.681481) 0000000002D71B70
65: (-0.510417, -0.87037) 0000000002D71BF0
66: (0.646875, -0.77037) 0000000002D71C70
67: (-0.452083, -0.648148) 0000000002D71CF0
68: (-0.596875, 0.909259) 0000000002D71D70
69: (-0.242708, -0.00555557) 0000000002D71DF0
70: (-0.898958, -0.246296) 0000000002D71E70
71: (-0.090625, 0.227778) 0000000002D71EF0
72: (0.567708, -0.501852) 0000000002D71F70
73: (0.551042, -0.92963) 0000000002D71FF0
74: (0.230208, -0.577778) 0000000002D72070
75: (-0.310417, -0.803704) 0000000002D720F0
76: (-0.347917, -0.87037) 0000000002D72170
77: (0.096875, -0.985185) 0000000002D721F0
78: (-0.0625, -0.646296) 0000000002D72270
79: (0.54375, 0.0648148) 0000000002D722F0
80: (-0.864583, 0.775926) 0000000002D72370
81: (-0.225, -0.968518) 0000000002D723F0
82: (-0.554167, -0.994444) 0000000002D72470
83: (-0.255208, 0.483333) 0000000002D724F0
84: (0.752083, 0.0925926) 0000000002D72570
85: (-0.280208, 0.103704) 0000000002D725F0
86: (0.764583, -0.592593) 0000000002D72670
87: (-0.2125, -0.516667) 0000000002D726F0
88: (-0.5125, -0.0388889) 0000000002D72770
89: (-0.5125, 0.340741) 0000000002D727F0
90: (-0.373958, -0.233333) 0000000002D72870
91: (-0.944792, 0.701852) 0000000002D728F0
92: (0.51875, 0.737037) 0000000002D72970
93: (0.1875, 0.0148149) 0000000002D729F0
94: (-0.117708, -0.135185) 0000000002D72A70
95: (0.883333, 0.57963) 0000000002D72AF0
96: (0.675, 0.635185) 0000000002D72B70
97: (-0.451042, -0.516667) 0000000002D72BF0
98: (-0.09375, -0.746296) 0000000002D72C70
99: (0.763542, 0.618518) 0000000002D72CF0
100: (-0.0947917, -0.896296) 0000000002D72D70
101: (0.723958, -0.683333) 0000000002D72DF0
102: (0.458333, 0.72037) 0000000002D72E70
103: (0.207292, -0.562963) 0000000002D72EF0
104: (0.747917, -0.883333) 0000000002D72F70
105: (-0.516667, -0.614815) 0000000002D72FF0
106: (-0.9125, -0.612963) 0000000002D73070
107: (0.613542, -0.440741) 0000000002D730F0
108: (0.328125, 0.935185) 0000000002D73170
109: (0.221875, -0.438889) 0000000002D731F0
110: (0.794792, -0.0611111) 0000000002D73270
111: (-0.464583, 0.598148) 0000000002D732F0
112: (0.758333, -0.333333) 0000000002D73370
113: (-0.98125, -0.744444) 0000000002D733F0
114: (0.4375, -0.340741) 0000000002D73470
115: (0.414583, -0.701852) 0000000002D734F0
116: (-0.594792, -0.485185) 0000000002D73570
117: (0.176042, -0.709259) 0000000002D735F0
118: (0.325, 0.744444) 0000000002D73670
119: (0.310417, -0.237037) 0000000002D736F0
120: (-0.710417, -0.224074) 0000000002D73770
121: (-0.0520833, -0.0796296) 0000000002D737F0
122: (-0.710417, 0.464815) 0000000002D73870
123: (-0.359375, -0.614815) 0000000002D738F0
124: (0.954167, 0.316667) 0000000002D73970
125: (-0.122917, -0.122222) 0000000002D739F0
126: (0.283333, 0.138889) 0000000002D73A70
127: (0.175, 0.937037) 0000000002D73AF0
128: (0.460417, 0.0481482) 0000000002D73B70
129: (0.661458, -0.346296) 0000000002D73BF0
130: (0.113542, 0.3) 0000000002D73C70
131: (-0.1625, -0.377778) 0000000002D73CF0
132: (-0.207292, 0.255556) 0000000002D73D70
133: (-0.247917, -0.461111) 0000000002D73DF0
134: (-0.561458, -0.446296) 0000000002D73E70
135: (0.705208, -0.266667) 0000000002D73EF0
136: (0.0541667, 0.164815) 0000000002D73F70
137: (0.286458, 0.837037) 0000000002D73FF0
138: (-0.291667, -0.351852) 0000000002D74070
139: (0.878125, 0.757407) 0000000002D740F0
140: (-0.394792, 0.2) 0000000002D74170
141: (0.959375, -0.872222) 0000000002D741F0
142: (0.890625, -0.587037) 0000000002D74270
143: (0.210417, 0.601852) 0000000002D742F0
144: (0.189583, 0.0462962) 0000000002D74370
145: (-0.783333, -0.803704) 0000000002D743F0
146: (0.809375, 0.994444) 0000000002D74470
147: (-0.758333, 0.281482) 0000000002D744F0
148: (-0.657292, 0.988889) 0000000002D74570
149: (-0.207292, 0.831481) 0000000002D745F0
